endpoint,method,CLIENT,TRANSPORTER,SECURITY,HSE_OFFICER,SURVEYOR,AUDITOR,TERMINAL_ADMIN,SUPER_ADMIN,context_scope
/api/bookings,GET,ALLOW,ALLOW,DENY,DENY,DENY,DENY,ALLOW,ALLOW,"client:self | transporter:self | admin:own_terminal | super_admin:all"
/api/bookings,POST,ALLOW,DENY,DENY,DENY,DENY,DENY,ALLOW,ALLOW,"client:self | admin:own_terminal | super_admin:all"
/api/bookings/stats,GET,ALLOW,ALLOW,DENY,DENY,DENY,DENY,ALLOW,ALLOW,"same as bookings GET"
/api/bookings/:id,GET,ALLOW,ALLOW,DENY,DENY,DENY,DENY,ALLOW,ALLOW,"record ownership + terminal guard"
/api/bookings/:id,PATCH,ALLOW,DENY,DENY,DENY,DENY,DENY,ALLOW,ALLOW,"client own booking; admin own terminal"
/api/bookings/:id/schedule,POST,DENY,DENY,DENY,DENY,DENY,DENY,ALLOW,ALLOW,"own terminal + slot capacity enforced"
/api/bookings/:id/assign-arm,POST,DENY,DENY,DENY,DENY,DENY,DENY,ALLOW,ALLOW,"permission controller:assign_arm + contextual checks"
/api/truck-trips,GET,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,"client:self | transporter:self | non-super-admin:own_terminal"
/api/truck-trips,POST,DENY,ALLOW,DENY,DENY,DENY,DENY,ALLOW,ALLOW,"transporter own booking; admin own terminal"
/api/truck-trips/:id/qr,GET,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,"client:self | transporter:self | admin/security own_terminal"
/api/gate/today,GET,DENY,DENY,ALLOW,DENY,DENY,DENY,ALLOW,ALLOW,"security/admin own_terminal"
/api/gate/scan,POST,DENY,DENY,ALLOW,DENY,DENY,DENY,ALLOW,ALLOW,"security/admin own_terminal"
/api/gate/check-in,POST,DENY,DENY,ALLOW,DENY,DENY,DENY,DENY,DENY,"security own_terminal"
/api/gate/check-out,POST,DENY,DENY,ALLOW,DENY,DENY,DENY,DENY,DENY,"security own_terminal"
/api/incidents,GET,DENY,DENY,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,"non-super-admin own_terminal"
/api/incidents,POST,DENY,DENY,ALLOW,ALLOW,DENY,DENY,ALLOW,ALLOW,"non-super-admin own_terminal"
/api/incidents/:id/close,POST,DENY,DENY,DENY,ALLOW,DENY,DENY,ALLOW,ALLOW,"non-super-admin own_terminal"
/api/safety/checklists,GET,DENY,DENY,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,"non-super-admin own_terminal"
/api/safety/checklists,POST,DENY,DENY,DENY,ALLOW,DENY,DENY,DENY,ALLOW,"own_terminal"
/api/safety/stop-work,GET,DENY,DENY,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,"non-super-admin own_terminal"
/api/safety/stop-work,POST,DENY,DENY,DENY,ALLOW,DENY,DENY,DENY,ALLOW,"own_terminal"
/api/safety/stop-work/:id/resolve,POST,DENY,DENY,DENY,ALLOW,DENY,DENY,DENY,ALLOW,"own_terminal"
